Category,Task,Details / What to do,Status,Owner,Due Date,Priority,Notes / Links
Sitemap,Resubmit after content changes,"Re-submit sitemap in GSC when new blog posts/products added",Not Started,,,Medium,
SEO,On-page meta review,"Check titles descriptions on all pages (Home About Services Products etc.)",Not Started,,,High,Configured in src/data/seo.js
SEO,Local SEO — NAP consistency,"Ensure Name Address Phone match exactly across web GBP directories",Not Started,,,High,"Orion Metal Industries | 1A Bibby Ct Moorabbin VIC 3189 | +61 402 208 011"
SEO,Structured data validation,"Test JSON-LD with Google Rich Results Test",Not Started,,,Medium,Organization LocalBusiness Service BlogPosting
SEO,Image alt text audit,"Review alt text on all product/service/project images",Not Started,,,Medium,
SEO,Page speed / Core Web Vitals,"Run Lighthouse on mobile + desktop; fix issues if any",Not Started,,,Medium,
SEO,Create Google Business categories,"Select correct primary/secondary categories in GBP",Not Started,,,High,e.g. Metal Fabricator Sheet Metal Contractor
Instagram,Create/link Instagram account,"Set up @ handle aligned with brand name",Not Started,,,Medium,
Instagram,Add website link in bio,"Link to production domain",Not Started,,,Medium,
Instagram,Upload profile + cover assets,"Use logo and workshop/product photos",Not Started,,,Medium,
Instagram,First posts (launch content),"Post 3–5 posts: facility services projects team",Not Started,,,Low,
Instagram,Add Instagram link to website footer (optional),"Add social icon in Footer component",Not Started,,,Low,Not in site yet — add if requested
Facebook,Create/update Facebook Page,"Business name address phone website hours",Not Started,,,Medium,
Facebook,Add website URL to Page,"Link to production domain",Not Started,,,Medium,
Facebook,Upload cover + profile photo,"Brand-consistent imagery",Not Started,,,Medium,
Facebook Backlinks,Add Facebook URL to GBP,"Link Facebook page in Google Business Profile",Not Started,,,Medium,
Facebook Backlinks,Add Facebook to website footer,"Add social link in Footer (if desired)",Not Started,,,Low,
Facebook Backlinks,Directory listings with FB link,"Add to Yellow Pages TrueLocal industry directories",Not Started,,,Low,
Backlinks / Citations,Australian business directories,"List on Yelp Yellow Pages Hotfrog StartLocal etc. with consistent NAP",Not Started,,,Medium,
Backlinks / Citations,Industry directories,"Metal fabrication / manufacturing directories in Victoria",Not Started,,,Medium,
Backlinks / Citations,Supplier/partner backlinks,"Ask suppliers clients for website mentions where appropriate",Not Started,,,Low,
Blog,Supabase blog table seeded,"Confirm blog_posts has content and is_published = true",Not Started,,,High,Run supabase/schema.sql if not done
Blog,Publish first 3 articles,"Review/edit seeded posts or write new Moorabbin/Melbourne SEO articles",Not Started,,,High,/blog routes live
Blog,Monthly blog schedule,"Plan 1–2 posts/month for local SEO (laser cutting fabrication tips)",Not Started,,,Medium,
Blog,Internal linking from blog,"Link blog posts to Services Contact Products pages",Not Started,,,Medium,
Blog,Share new posts on social,"Cross-post to Facebook Instagram when published",Not Started,,,Low,
Supabase,Run schema + grants SQL,"Execute supabase/schema.sql and supabase/grants.sql in SQL Editor",Not Started,,,High,Required for live product/blog/review data
Supabase,Update product images in DB,"Run supabase/update-product-images.sql if old kiosk URLs remain",Not Started,,,Medium,
Supabase,Plan CMS phase (future),"Admin dashboard for products blog customers reviews",Not Started,,,Low,Architecture ready — not built yet
Security,Rotate exposed secrets (if shared in chat),"Regenerate Gmail App Password + review Supabase keys if exposed",Not Started,,,High,Recommended after sharing credentials
Security,Confirm .envvercel not in Git,"Verify secrets only in Vercel + local .env.local",Not Started,,,High,.envvercel is gitignored
Launch,Final QA — desktop,"Click through all pages forms links on desktop browser",Not Started,,,High,
Launch,Final QA — mobile,"Test on real phone: nav form WhatsApp chatbot maps",Not Started,,,High,
Launch,Team handover doc,"Document how to update products blog via Supabase",Not Started,,,Medium,
Launch,Go-live announcement,"Email/social announcement when custom domain is live",Not Started,,,Low,
